symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,per_d,nta,pb,mktcap,nmc,turnoverratio,favor,guba
sh600000,600000,浦发银行,10.880,-0.060,-0.548,10.880,10.890,10.940,10.940,10.950,10.850,16014501,174138743,15:00:00,5.913,5.837,13.5700,0.802,31935063.471936,30576895.122112,0.05698,,
sh600004,600004,白云机场,15.980,-0.150,-0.930,15.980,15.990,16.130,16.180,16.200,15.960,5907950,94872898,15:00:00,19.488,18.487,7.4611,2.142,3306774.181372,3306774.181372,0.2855,,
sh600006,600006,东风汽车,4.690,0.020,0.428,4.680,4.690,4.670,4.660,4.700,4.640,5637456,26372675,15:00:00,46.713,36.105,3.4172,1.372,938000,938000,0.28187,,
sh600007,600007,中国国贸,15.110,0.410,2.789,15.100,15.120,14.700,14.940,15.190,14.590,2902805,43523670,15:00:00,23.984,22.455,6.6210,2.282,1522003.908874,1522003.908874,0.28818,,
sh600008,600008,首创股份,4.900,0.050,1.031,4.900,4.910,4.850,4.860,4.910,4.840,29692543,144922821,15:00:00,38.583,39.805,1.7002,2.882,2362100.92076,2362100.92076,0.61595,,
sh600009,600009,上海机场,52.950,-0.190,-0.358,52.890,52.900,53.140,53.540,53.640,52.830,2577921,137071486,15:00:00,27.723,26.095,13.5707,3.902,10203244.98216,5789957.522115,0.23575,,
sh600010,600010,包钢股份,2.060,0.000,0.000,2.050,2.060,2.060,2.050,2.060,2.040,72598238,148861549,15:00:00,45.575,37.523,1.0962,1.879,9390516.725488,4539999.767126,0.32941,,
sh600011,600011,华能国际,6.420,-0.080,-1.231,6.410,6.420,6.500,6.520,6.520,6.360,9576240,61505090,15:00:00,58.364,41.339,4.7098,1.363,9758646.16848,6741000,0.0912,,
sh600012,600012,皖通高速,8.840,0.520,6.250,8.820,8.830,8.320,8.250,9.000,8.220,10577671,92005560,15:00:00,13.435,13.757,5.8165,1.52,1466211.24,1030390.4,0.90749,,
sh600015,600015,华夏银行,8.550,-0.060,-0.697,8.550,8.560,8.610,8.600,8.620,8.500,14883560,127240071,15:00:00,5.777,5.518,11.8700,0.72,10963397.088315,10963397.088315,0.11607,,
sh600016,600016,民生银行,7.880,-0.060,-0.756,7.880,7.890,7.940,7.950,7.960,7.840,65749035,517757218,15:00:00,5.837,5.687,10.2800,0.767,28750454.816576,23286794.243072,0.22249,,
sh600017,600017,日照港,3.980,-0.040,-0.995,3.970,3.980,4.020,4.020,4.030,3.940,23574003,93656476,15:00:00,33.167,28.307,3.5166,1.132,1224110.247424,1224110.247424,0.76647,,
sh600018,600018,上港集团,6.750,-0.020,-0.295,6.750,6.760,6.770,6.780,6.790,6.700,13911345,93757597,15:00:00,13.56,12.986,3.0854,2.188,15642230.38875,15359746.26375,0.06113,,
sh600019,600019,宝钢股份,8.630,-0.150,-1.708,8.630,8.640,8.780,8.780,8.790,8.590,47988286,414960306,15:00:00,10.035,9.391,7.5998,1.136,19217210.752875,19063433.732175,0.21724,,
sh600020,600020,中原高速,4.490,-0.010,-0.222,4.480,4.490,4.500,4.500,4.500,4.470,4462741,19991956,15:00:00,11.18,10.104,4.5282,0.992,1009069.952568,1009069.952568,0.19858,,
sh600021,600021,上海电力,8.130,0.000,0.000,8.120,8.130,8.130,8.130,8.160,8.080,2245301,18239301,15:00:00,21.111,21.355,5.2949,1.535,1959051.262137,695803.419945,0.26235,,
sh600022,600022,山东钢铁,2.020,0.000,0.000,0.000,0.000,2.020,0.000,0.000,0.000,0,0,15:00:00,11.49,10.565,1.7090,1.182,2211203.022432,2159099.847614,0,,
sh600023,600023,浙能电力,5.260,0.020,0.382,5.250,5.260,5.240,5.240,5.270,5.220,8524051,44730107,15:00:00,16.438,18.226,4.4954,1.17,7153962.933688,7153962.933688,0.06267,,
sh600025,600025,华能水电,3.560,0.050,1.425,3.550,3.560,3.510,3.500,3.630,3.480,68315205,243231779,15:00:00,25.429,35.248,2.2073,1.613,6408000,640800,3.79529,,
sh600026,600026,中远海能,5.460,0.030,0.553,5.470,5.480,5.430,5.600,5.660,5.440,63263402,350793164,15:00:00,12.463,19.683,6.8298,0.799,2201489.942106,1493873.942106,2.31223,,
sh600027,600027,华电国际,3.910,0.010,0.256,3.890,3.900,3.900,3.900,3.980,3.880,15510301,60824822,15:00:00,88.864,34.88,4.3040,0.908,3856423.871323,2652780.821662,0.22861,,
sh600028,600028,中国石化,7.270,0.000,0.000,7.260,7.270,7.270,7.270,7.320,7.220,110526397,803311229,15:00:00,17.227,16.526,6.1600,1.18,88018769.412642,69470499.550442,0.11566,,
sh600029,600029,南方航空,10.030,-0.170,-1.667,10.040,10.050,10.200,10.130,10.140,9.930,76453614,765126731,15:00:00,16.717,14.576,5.2410,1.914,10118437.791816,7043717.95,1.08867,,
sh600030,600030,中信证券,19.700,-0.110,-0.555,19.700,19.710,19.810,19.800,19.800,19.490,77291550,1515942555,15:00:00,20.957,20.191,12.5216,1.573,23870309.548,19334883.549,0.78751,,
sh600031,600031,三一重工,8.590,-0.090,-1.037,8.590,8.600,8.680,8.670,8.670,8.500,65958414,564727953,15:00:00,31.431,23.179,3.4995,2.455,6620579.239319,6568669.589285,0.86255,,
sh600033,600033,福建高速,3.470,0.000,0.000,3.460,3.470,3.470,3.460,3.470,3.450,3346595,11580356,15:00:00,14.513,15.239,3.2336,1.073,952306.8,952306.8,0.12194,,
sh600035,600035,楚天高速,4.000,0.000,0.000,3.990,4.010,4.000,4.000,4.010,3.970,4629096,18453240,15:00:00,11.765,12.154,3.5709,1.12,692318.3692,596558.0296,0.31039,,
sh600036,600036,招商银行,29.820,-0.450,-1.487,29.810,29.820,30.270,30.140,30.240,29.630,36542624,1088792950,15:00:00,10.727,10.324,18.3200,1.628,75205579.582182,61515512.287278,0.17714,,
sh600037,600037,歌华有线,12.250,0.050,0.410,12.240,12.250,12.200,12.210,12.270,12.170,3607873,44080207,15:00:00,22.395,22.568,9.2437,1.325,1704927.9079,1431231.23185,0.3088,,
sh600038,600038,中直股份,44.180,-0.060,-0.136,44.150,44.170,44.240,44.130,44.480,43.260,4464640,195435223,15:00:00,57.191,57.235,12.4263,3.555,2604308.131288,2604308.131288,0.75739,,
sh600039,600039,四川路桥,3.800,-0.010,-0.263,3.790,3.800,3.810,3.810,3.810,3.770,6002549,22701457,15:00:00,11.487,12.003,3.6340,1.046,1371999.6938,1147498.41536,0.19878,,
sh600048,600048,保利地产,13.200,-0.550,-4.000,13.210,13.220,13.750,13.760,13.760,13.050,142012624,1881719913,15:00:00,10,10.014,8.8050,1.499,15653142.20052,15491970.03948,1.21002,,
sh600050,600050,中国联通,5.990,-0.010,-0.167,5.980,5.990,6.000,5.970,6.000,5.910,154814912,921298487,15:00:00,318.617,97.24,4.4189,1.356,18585659.200513,12696761.240605,0.73038,,
sh600051,600051,宁波联合,7.790,-0.030,-0.384,7.790,7.800,7.820,7.820,7.830,7.730,2327999,18089579,15:00:00,4.994,5.095,7.6490,1.018,242175.52,242175.52,0.74884,,
sh600052,600052,浙江广厦,3.730,0.000,0.000,0.000,0.000,3.730,0.000,0.000,0.000,0,0,15:00:00,16.955,15.4,2.7296,1.367,325177.331316,325177.331316,0,,
sh600053,600053,九鼎投资,22.740,-0.060,-0.263,22.720,22.730,22.800,22.830,22.940,22.570,1059973,24085357,15:00:00,30.442,31.374,4.6595,4.88,985871.7792,985871.7792,0.24449,,
sh600054,600054,黄山旅游,12.640,-0.040,-0.316,12.640,12.650,12.680,12.680,12.680,12.590,1519679,19190339,15:00:00,22.982,21.212,5.5665,2.271,944587.2,648811.2,0.29606,,
sh600055,600055,万东医疗,14.860,-0.150,-0.999,14.870,14.880,15.010,15.100,15.140,14.690,5262979,78387030,15:00:00,73.564,72.843,3.4170,4.349,803652.871714,720484.128,1.08549,,
sh600056,600056,中国医药,22.580,0.130,0.579,22.570,22.580,22.450,22.450,22.730,22.400,7312472,165130407,15:00:00,18.58,17.295,7.6631,2.947,2412640.335772,2285403.232512,0.72248,,
sh600057,600057,厦门象屿,8.870,-0.090,-1.005,8.870,8.880,8.960,8.960,9.000,8.780,4958263,43862495,15:00:00,17.392,14.458,6.2593,1.417,1293014.712089,1281081.976484,0.3433,,
sh600058,600058,五矿发展,10.610,0.010,0.094,10.610,10.620,10.600,10.610,10.650,10.510,2640039,27910207,15:00:00,329.503,237.36,4.7181,2.249,1137297.264371,1137297.264371,0.24629,,
sh600059,600059,古越龙山,8.700,-0.110,-1.249,8.690,8.700,8.810,8.800,8.800,8.650,4001124,34869317,15:00:00,43.5,38.805,5.0198,1.733,703416.02355,703416.02355,0.49487,,
sh600060,600060,海信电器,14.630,0.020,0.137,14.620,14.630,14.610,14.660,14.760,14.470,3767507,55087587,15:00:00,20.319,20.014,10.7982,1.355,1914308.027786,1914308.027786,0.28793,,
sh600061,600061,国投资本,12.280,-0.070,-0.567,12.270,12.280,12.350,12.320,12.350,12.200,2397993,29366281,15:00:00,18.059,19.083,8.6879,1.413,5190915.304756,4536418.303564,0.06491,,
sh600062,600062,华润双鹤,26.350,0.090,0.343,26.370,26.380,26.260,26.270,26.740,26.070,9878479,260471892,15:00:00,27.187,23.728,8.9229,2.953,2290776.13733,1807702.58863,1.43994,,
sh600063,600063,皖维高新,3.290,-0.090,-2.663,3.270,3.280,3.380,3.340,3.420,3.260,49196827,163657321,15:00:00,65.8,79.469,2.4409,1.348,633619.353668,633619.353668,2.55449,,
sh600064,600064,南京高科,8.670,-0.060,-0.687,8.660,8.670,8.730,8.780,8.780,8.620,4061687,35248269,15:00:00,7.078,6.509,13.6401,0.636,1071574.621896,1071574.621896,0.32863,,
sh600066,600066,宇通客车,21.980,-0.180,-0.812,21.980,21.990,22.160,22.300,22.320,21.800,7948769,174943778,15:00:00,15.589,15.659,6.6825,3.289,4866238.412154,4866238.412154,0.35903,,
sh600067,600067,冠城大通,5.160,0.040,0.781,5.150,5.160,5.120,5.140,5.160,5.120,3235359,16642567,15:00:00,12.9,28.477,4.8421,1.066,769929.1341,769929.1341,0.21683,,
sh600068,600068,葛洲坝,8.130,-0.030,-0.368,8.120,8.130,8.160,8.150,8.150,8.080,16829482,136527556,15:00:00,9.114,7.974,5.5117,1.475,3743684.035956,3743684.035956,0.36548,,
sh600069,600069,银鸽投资,7.670,0.130,1.724,7.680,7.690,7.540,7.620,7.730,7.580,6643949,50786508,15:00:00,191.75,106.974,1.6930,4.53,958061.968019,633061.968448,0.80496,,
sh600070,600070,浙江富润,9.130,-0.090,-0.976,9.130,9.140,9.220,9.160,9.200,9.000,1357131,12339643,15:00:00,28.531,36.418,4.6308,1.972,476536.805734,366586.032604,0.338,,
sh600071,600071,凤凰光学,16.270,0.020,0.123,16.250,16.280,16.250,16.230,16.380,16.000,517900,8394787,15:00:00,116.214,106.132,1.7743,9.17,386367.685912,386367.685912,0.21809,,
sh600072,600072,中船科技,11.740,-0.090,-0.761,11.730,11.740,11.830,11.840,11.840,11.660,3717326,43554724,15:00:00,286.341,225.769,4.9761,2.359,864357.362642,705314.27598,0.61875,,
sh600073,600073,上海梅林,7.290,-0.010,-0.137,7.280,7.290,7.300,7.300,7.330,7.210,6856139,49840535,15:00:00,24.3,26.073,3.9424,1.849,683604.785088,683604.785088,0.73114,,
sh600074,600074,*ST保千,1.480,-0.020,-1.333,1.480,1.490,1.500,1.500,1.500,1.470,14782752,21949160,15:00:00,-0.467,-0.45,-1.4259,-1.038,360807.135252,151855.863536,1.44074,,
sh600075,600075,新疆天业,7.950,-0.130,-1.609,7.950,7.970,8.080,8.010,8.030,7.870,19482250,154590564,15:00:00,14.455,14.329,4.6243,1.719,773155.26984,661757.74401,2.34049,,
sh600076,600076,康欣新材,6.350,0.000,0.000,0.000,0.000,6.350,0.000,0.000,0.000,0,0,15:00:00,14.08,13.301,3.4123,1.861,656757.721915,477757.894495,0,,
sh600077,600077,宋都股份,3.590,0.060,1.700,3.590,3.600,3.530,3.530,3.630,3.530,9489416,34167685,15:00:00,29.917,26.791,2.7964,1.284,481103.915034,481103.915034,0.7081,,
sh600078,600078,澄星股份,4.500,-0.040,-0.881,4.500,4.510,4.540,4.500,4.530,4.420,6549688,29362987,15:00:00,50,59.761,2.8380,1.586,298157.78745,298157.78745,0.98852,,
sh600079,600079,人福医药,15.310,-0.060,-0.390,15.320,15.330,15.370,15.370,15.450,15.230,11116625,170340608,15:00:00,10.007,10.614,8.6264,1.775,2072521.286362,1968941.113922,0.8644,,
