symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,per_d,nta,pb,mktcap,nmc,turnoverratio,favor,guba
sh600000,600000,浦发银行,11.000,0.050,0.457,10.990,11.000,10.950,10.970,11.050,10.960,23763310,261553535,15:00:00,5.978,5.902,13.5700,0.811,32287288.4367,30914140.2889,0.08456,,
sh600004,600004,白云机场,16.050,-0.190,-1.170,16.050,16.060,16.240,16.220,16.380,15.840,14552064,233573098,15:00:00,19.573,18.568,7.4611,2.151,3321259.42497,3321259.42497,0.70323,,
sh600006,600006,东风汽车,4.630,-0.060,-1.279,4.630,4.640,4.690,4.650,4.680,4.620,8485815,39363386,15:00:00,46.116,35.643,3.4172,1.355,926000,926000,0.42429,,
sh600007,600007,中国国贸,14.510,0.330,2.327,14.430,14.540,14.180,14.070,14.610,14.010,1566092,22413089,15:00:00,23.032,21.563,6.6210,2.192,1461566.956834,1461566.956834,0.15548,,
sh600008,600008,首创股份,4.780,-0.040,-0.830,4.770,4.780,4.820,4.820,4.820,4.770,10586119,50718854,15:00:00,37.638,38.83,1.7002,2.811,2304253.551272,2304253.551272,0.2196,,
sh600009,600009,上海机场,52.900,0.310,0.590,52.950,52.970,52.590,52.760,53.800,52.590,5208137,276919465,15:00:00,27.696,26.071,13.5707,3.898,10193610.18992,5784490.14013,0.47629,,
sh600010,600010,包钢股份,2.010,-0.010,-0.495,2.000,2.010,2.020,2.010,2.020,2.000,50220923,100756639,15:00:00,44.469,36.612,1.0962,1.834,9162591.562248,4429805.598021,0.22787,,
sh600011,600011,华能国际,6.270,-0.040,-0.634,6.290,6.300,6.310,6.290,6.360,6.260,9483869,59878516,15:00:00,57,40.373,4.7098,1.331,9530640.41688,6583500,0.09032,,
sh600012,600012,皖通高速,8.170,0.100,1.239,8.160,8.170,8.070,8.080,8.230,8.050,3067600,25051159,15:00:00,12.416,12.714,5.8165,1.405,1355084.37,952295.2,0.26318,,
sh600015,600015,华夏银行,8.590,0.090,1.059,8.580,8.590,8.500,8.500,8.600,8.500,28721665,245750445,15:00:00,5.804,5.544,11.8700,0.724,11014687.834927,11014687.834927,0.22399,,
