symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,per_d,nta,pb,mktcap,nmc,turnoverratio,favor,guba
sh600000,600000,浦发银行,10.990,-0.010,-0.091,10.990,11.000,11.000,11.030,11.050,10.880,23548459,258018710,15:00:00,5.973,5.896,13.5700,0.81,32257936.356303,30886036.525001,0.08379,,
sh600004,600004,白云机场,16.080,0.030,0.187,16.080,16.100,16.050,16.050,16.100,15.830,10436016,166659516,15:00:00,19.61,18.602,7.4611,2.155,3327467.386512,3327467.386512,0.50432,,
sh600006,600006,东风汽车,4.650,0.020,0.432,4.650,4.660,4.630,4.630,4.690,4.600,5330548,24770555,15:00:00,46.315,35.797,3.4172,1.361,930000,930000,0.26653,,
sh600007,600007,中国国贸,14.340,-0.170,-1.172,14.360,14.400,14.510,14.450,14.490,14.200,1152000,16493291,15:00:00,22.762,21.311,6.6210,2.166,1444443.153756,1444443.153756,0.11437,,
sh600008,600008,首创股份,4.800,0.020,0.418,4.800,4.810,4.780,4.780,4.810,4.780,9690589,46461991,15:00:00,37.795,38.993,1.7002,2.823,2313894.77952,2313894.77952,0.20102,,
sh600009,600009,上海机场,53.470,0.570,1.078,53.420,53.580,52.900,53.290,54.300,52.850,3083736,165304850,15:00:00,27.995,26.352,13.5707,3.94,10303446.821456,5846818.294759,0.28201,,
sh600010,600010,包钢股份,2.020,0.010,0.498,2.010,2.020,2.010,2.010,2.020,2.000,45123784,90739482,15:00:00,44.69,36.794,1.0962,1.843,9208176.594896,4451844.431842,0.20475,,
sh600011,600011,华能国际,6.480,0.210,3.349,6.480,6.490,6.270,6.290,6.480,6.270,19720809,126231063,15:00:00,58.909,41.726,4.7098,1.376,9849848.46912,6804000,0.18782,,
sh600012,600012,皖通高速,8.200,0.030,0.367,8.190,8.200,8.170,8.100,8.210,8.080,2012701,16433348,15:00:00,12.462,12.761,5.8165,1.41,1360060.2,955792,0.17268,,
sh600015,600015,华夏银行,8.560,-0.030,-0.349,8.560,8.570,8.590,8.600,8.610,8.540,19621989,168094220,15:00:00,5.784,5.524,11.8700,0.721,10976219.774968,10976219.774968,0.15303,,
sh600016,600016,民生银行,7.920,-0.030,-0.377,7.910,7.920,7.950,7.950,7.960,7.880,45751415,361913134,15:00:00,5.867,5.716,10.2800,0.77,28896396.211584,23405001.320448,0.15482,,
sh600017,600017,日照港,3.890,-0.030,-0.765,3.890,3.900,3.920,3.910,3.910,3.830,21183131,81937853,15:00:00,32.417,27.667,3.5166,1.106,1196429.362432,1196429.362432,0.68874,,
sh600018,600018,上港集团,6.810,0.060,0.889,6.810,6.820,6.750,6.740,6.820,6.720,15301782,103881700,15:00:00,13.68,13.101,3.0854,2.207,15781272.43665,15496277.34165,0.06725,,
sh600019,600019,宝钢股份,8.980,-0.160,-1.751,8.980,8.990,9.140,9.160,9.160,8.860,79998352,716112558,15:00:00,10.442,9.771,7.5998,1.182,19996587.78225,19836574.15005,0.36215,,
sh600020,600020,中原高速,4.450,0.010,0.225,4.440,4.450,4.440,4.440,4.460,4.410,5162711,22878112,15:00:00,11.081,10.014,4.5282,0.983,1000080.46524,1000080.46524,0.22972,,
sh600021,600021,上海电力,8.340,0.070,0.846,8.330,8.340,8.270,8.280,8.360,8.240,2713385,22515930,15:00:00,21.657,21.907,5.2949,1.575,2009654.062266,713776.20201,0.31704,,
sh600022,600022,山东钢铁,2.020,0.000,0.000,0.000,0.000,2.020,0.000,0.000,0.000,0,0,15:00:00,11.49,10.565,1.7090,1.182,2211203.022432,2159099.847614,0,,
sh600023,600023,浙能电力,5.180,0.010,0.193,5.170,5.180,5.170,5.170,5.180,5.150,8756516,45198021,15:00:00,16.188,17.949,4.4954,1.152,7045157.413784,7045157.413784,0.06438,,
sh600025,600025,华能水电,3.650,0.330,9.940,3.650,0.000,3.320,3.310,3.650,3.280,138814893,494669093,15:00:00,26.071,36.139,2.2073,1.654,6570000,657000,7.71194,,
sh600026,600026,中远海能,4.850,-0.060,-1.222,4.850,4.860,4.910,4.910,4.910,4.790,15836514,76582782,15:00:00,11.071,17.484,6.8298,0.71,1955535.937585,1326975.937585,0.57881,,
sh600027,600027,华电国际,3.830,0.080,2.133,3.820,3.830,3.750,3.730,3.860,3.730,27982993,106595283,15:00:00,87.045,34.166,4.3040,0.89,3777520.058099,2598503.976206,0.41245,,
sh600028,600028,中国石化,7.160,0.020,0.280,7.160,7.170,7.140,7.170,7.170,7.080,100850742,718586713,15:00:00,16.967,16.276,6.1600,1.162,86686986.106536,68419364.068936,0.10554,,
sh600029,600029,南方航空,10.720,0.010,0.093,10.710,10.720,10.710,10.880,10.950,10.550,57551916,616737827,15:00:00,17.867,15.579,5.2410,2.045,10814521.747584,7528280.8,0.81952,,
sh600030,600030,中信证券,19.820,-0.050,-0.252,19.820,19.830,19.870,19.890,19.930,19.580,78460299,1547264427,15:00:00,21.085,20.314,12.5216,1.583,24015712.4488,19452659.4894,0.79942,,
sh600031,600031,三一重工,8.820,0.280,3.279,8.820,8.830,8.540,8.550,8.830,8.540,120393198,1050885487,15:00:00,32.272,23.799,3.4995,2.52,6797847.367962,6744547.82043,1.57441,,
sh600033,600033,福建高速,3.440,0.010,0.292,3.430,3.440,3.430,3.430,3.440,3.410,3338550,11438401,15:00:00,14.387,15.108,3.2336,1.064,944073.6,944073.6,0.12165,,
sh600035,600035,楚天高速,4.010,0.050,1.263,4.000,4.010,3.960,3.950,4.030,3.950,5169976,20618209,15:00:00,11.794,12.185,3.5709,1.123,694049.165123,598049.424674,0.34665,,
sh600036,600036,招商银行,30.560,-0.260,-0.844,30.560,30.570,30.820,30.850,30.900,30.320,32987550,1007130845,15:00:00,10.993,10.58,18.3200,1.668,77071848.156656,63042054.175024,0.15991,,
sh600037,600037,歌华有线,12.110,-0.080,-0.656,12.100,12.120,12.190,12.150,12.160,11.980,5620585,67714256,15:00:00,22.139,22.31,9.2437,1.31,1685443.017524,1414874.303486,0.48107,,
sh600038,600038,中直股份,44.720,1.040,2.381,44.750,44.770,43.680,43.820,44.770,43.600,6612387,292006387,15:00:00,57.89,57.935,12.4263,3.599,2636139.873952,2636139.873952,1.12174,,
sh600039,600039,四川路桥,3.830,0.040,1.055,3.820,3.830,3.790,3.790,3.840,3.790,7643130,29185283,15:00:00,11.578,12.097,3.6340,1.054,1382831.27033,1156557.613376,0.25311,,
sh600048,600048,保利地产,13.960,0.240,1.749,13.950,13.960,13.720,13.770,13.970,13.610,47295610,653021142,15:00:00,10.576,10.591,8.8050,1.585,16554383.721156,16383931.950844,0.40298,,
sh600050,600050,中国联通,5.900,0.150,2.609,5.890,5.900,5.750,5.750,5.900,5.710,181248411,1058044081,15:00:00,313.83,95.779,4.4189,1.335,18306408.89533,12505991.87305,0.85508,,
sh600051,600051,宁波联合,7.820,0.050,0.644,7.820,7.830,7.770,7.760,7.870,7.710,2773695,21635125,15:00:00,5.013,5.115,7.6490,1.022,243108.16,243108.16,0.89221,,
sh600052,600052,浙江广厦,3.730,0.000,0.000,0.000,0.000,3.730,0.000,0.000,0.000,0,0,15:00:00,16.955,15.4,2.7296,1.367,325177.331316,325177.331316,0,,
sh600053,600053,九鼎投资,22.480,0.090,0.402,22.490,22.500,22.390,22.440,22.610,22.050,1006052,22486044,15:00:00,30.094,31.015,4.6595,4.825,974599.7184,974599.7184,0.23205,,
sh600054,600054,黄山旅游,12.480,-0.020,-0.160,12.470,12.480,12.500,12.510,12.510,12.370,2116141,26298434,15:00:00,22.691,20.943,5.5665,2.242,932630.4,640598.4,0.41226,,
sh600055,600055,万东医疗,14.850,0.250,1.712,14.850,14.860,14.600,14.560,14.850,14.460,2715507,39819495,15:00:00,73.515,72.794,3.4170,4.346,803112.055515,719999.28,0.56007,,
sh600056,600056,中国医药,22.020,0.180,0.824,22.020,22.030,21.840,21.800,22.070,21.650,8805684,192930797,15:00:00,18.119,16.866,7.6631,2.874,2352805.145868,2228723.612928,0.87001,,
sh600057,600057,象屿股份,8.920,-0.120,-1.327,8.920,8.930,9.040,9.000,9.030,8.780,6089948,54133919,15:00:00,17.49,14.54,6.2593,1.425,1300303.408324,1288303.408144,0.42166,,
sh600058,600058,五矿发展,10.640,0.080,0.758,10.630,10.640,10.560,10.530,10.650,10.480,2262037,23893838,15:00:00,330.435,238.031,4.7181,2.255,1140512.996504,1140512.996504,0.21103,,
sh600059,600059,古越龙山,8.820,0.270,3.158,8.820,8.830,8.550,8.560,8.850,8.550,6985956,61053253,15:00:00,44.1,39.34,5.0198,1.757,713118.31353,713118.31353,0.86404,,
sh600060,600060,海信电器,14.150,-0.050,-0.352,14.160,14.170,14.200,14.300,14.340,13.970,8331857,117460053,15:00:00,19.653,19.357,10.7982,1.31,1851500.92913,1851500.92913,0.63676,,
sh600061,600061,国投资本,12.360,0.030,0.243,12.360,12.370,12.330,12.350,12.420,12.160,2746055,33742925,15:00:00,18.176,19.207,8.6879,1.423,5224732.342572,4565971.517268,0.07434,,
sh600062,600062,华润双鹤,26.270,0.480,1.861,26.270,26.280,25.790,25.650,26.350,25.620,7202894,187880053,15:00:00,27.105,23.656,8.9229,2.944,2283821.219266,1802214.307526,1.04993,,
sh600063,600063,皖维高新,3.040,0.020,0.662,3.030,3.040,3.020,3.030,3.040,3.000,4992709,15085024,15:00:00,60.8,73.43,2.4409,1.245,585471.986368,585471.986368,0.25924,,
